date;flight_number;departure;destination;travel_class;service;component;dish_type;region;passengers;ratio;load_factor;price_per_dish;co2_per_item;departure_time;arrival_time;flight_duration;route
2025-01-16;4Y001;FRA;JFK;Business;First;Starter;Meat;North America;30;0,6;1,2;5;2,5;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;First;Starter;Veg;North America;30;0,6;1,2;4,5;1,2;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;First;Main;Meat;North America;30;0,4;1,2;5;2,5;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;First;Main;Veg;North America;30;0,4;1,2;4,5;1,2;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;First;Main;Fish;North America;30;0,4;1,2;6;3;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;First;Dessert;Cheese;North America;30;0,6;1,2;3,5;1,8;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;First;Dessert;Sweet;North America;30;0,6;1,2;2,5;0,8;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;Second;Breakfast;;North America;30;1;1;0;0;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;Second;Dinner;Meat;North America;30;0,6;1,2;5;2,5;05:15;08:15;08:00;intercont
2025-01-16;4Y001;FRA;JFK;Business;Second;Dinner;Veg;North America;30;0,6;1,2;4,5;1,2;05:15;08:15;08:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;First;Starter;Meat;Asia;36;0,6;1,2;5;2,5;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;First;Starter;Veg;Asia;36;0,6;1,2;4,5;1,2;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;First;Main;Meat;Asia;36;0,4;1,2;5;2,5;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;First;Main;Veg;Asia;36;0,4;1,2;4,5;1,2;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;First;Main;Fish;Asia;36;0,4;1,2;6;3;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;First;Dessert;Cheese;Asia;36;0,6;1,2;3,5;1,8;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;First;Dessert;Sweet;Asia;36;0,6;1,2;2,5;0,8;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;Second;Breakfast;;Asia;36;1;1;0;0;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;Second;Dinner;Meat;Asia;36;0,6;1,2;5;2,5;07:49;15:49;12:00;intercont
2025-01-16;4Y002;FRA;SIN;Business;Second;Dinner;Veg;Asia;36;0,6;1,2;4,5;1,2;07:49;15:49;12:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;First;Starter;Meat;North America;57;0,6;1,2;5;2,5;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;First;Starter;Veg;North America;57;0,6;1,2;4,5;1,2;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;First;Main;Meat;North America;57;0,4;1,2;5;2,5;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;First;Main;Veg;North America;57;0,4;1,2;4,5;1,2;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;First;Main;Fish;North America;57;0,4;1,2;6;3;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;First;Dessert;Cheese;North America;57;0,6;1,2;3,5;1,8;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;First;Dessert;Sweet;North America;57;0,6;1,2;2,5;0,8;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;Second;Breakfast;;North America;57;1;1;0;0;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;Second;Dinner;Meat;North America;57;0,6;1,2;5;2,5;07:16;10:16;11:00;intercont
2025-01-16;4Y003;FRA;LAX;Business;Second;Dinner;Veg;North America;57;0,6;1,2;4,5;1,2;07:16;10:16;11:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;First;Starter;Meat;Asia;59;0,6;1,2;5;2,5;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;First;Starter;Veg;Asia;59;0,6;1,2;4,5;1,2;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;First;Main;Meat;Asia;59;0,4;1,2;5;2,5;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;First;Main;Veg;Asia;59;0,4;1,2;4,5;1,2;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;First;Main;Fish;Asia;59;0,4;1,2;6;3;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;First;Dessert;Cheese;Asia;59;0,6;1,2;3,5;1,8;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;First;Dessert;Sweet;Asia;59;0,6;1,2;2,5;0,8;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;Second;Breakfast;;Asia;59;1;1;0;0;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;Second;Dinner;Meat;Asia;59;0,6;1,2;5;2,5;10:03;03:33;10:00;intercont
2025-01-16;4Y004;FRA;BKK;Business;Second;Dinner;Veg;Asia;59;0,6;1,2;4,5;1,2;10:03;03:33;10:00;intercont
2025-01-16;4Y005;FRA;HND;Business;First;Starter;Meat;Asia;49;0,6;1,2;5;2,5;13:37;03:37;10:00;intercont
2025-01-16;4Y005;FRA;HND;Business;First;Starter;Veg;Asia;49;0,6;1,2;4,5;1,2;13:37;03:37;10:00;intercont
2025-01-16;4Y005;FRA;HND;Business;First;Main;Meat;Asia;49;0,4;1,2;5;2,5;13:37;03:37;10:00;intercont
2025-01-16;4Y005;FRA;HND;Business;First;Main;Veg;Asia;49;0,4;1,2;4,5;1,2;13:37;03:37;10:00;intercont
