date;flight_number;departure;destination;travel_class;service;component;dish_type;region;passengers;amount_loaded;amount_predicted_demand;amount_used;amount_missed_order;recommended_ratio;ratio;load_factor;price_per_dish;co2_per_item;items_saved;potential_cost_savings;potential_co2_savings;customer_satisfaction;departure_time;arrival_time;flight_duration;route
2024-04-19;4Y001;FRA;JFK;Business;First;Starter;Meat;North America;35;21;18;17;0;0,51;0,6;1,2;5;2,5;3;15;7,5;84;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;First;Starter;Veg;North America;35;21;18;17;0;0,51;0,6;1,2;4,5;1,2;3;13,5;3,6;100;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;First;Main;Meat;North America;35;14;9;10;0;0,26;0,4;1,2;5;2,5;0;0;0;93;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;First;Main;Veg;North America;35;14;12;12;0;0,34;0,4;1,2;4,5;1,2;2;9;2,4;91;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;First;Main;Fish;North America;35;14;8;9;0;0,23;0,4;1,2;6;3;0;0;0;85;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;First;Dessert;Cheese;North America;35;21;18;19;0;0,51;0,6;1,2;3,5;1,8;0;0;0;87;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;First;Dessert;Sweet;North America;35;21;21;21;2;0,6;0,6;1,2;2,5;0,8;0;0;0;66;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;Second;Breakfast;;North America;35;35;31;29;0;0,89;1;1;0;0;4;0;0;92;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;Second;Dinner;Meat;North America;35;21;17;17;0;0,49;0,6;1,2;5;2,5;4;20;10;94;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Business;Second;Dinner;Veg;North America;35;21;18;17;0;0,51;0,6;1,2;4,5;1,2;3;13,5;3,6;71;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Premium Eco;First;Starter;Snack;North America;11;11;7;7;0;0,64;1;1;2;0,5;4;8;2;82;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Premium Eco;First;Main;Non-Veg;North America;11;4;3;4;5;0,27;0,4;1,2;5,5;2,7;0;0;0;69;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Premium Eco;First;Main;Veg;North America;11;4;1;2;0;0,09;0,4;1,2;4,5;1,2;0;0;0;100;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Premium Eco;First;Main;Bread;North America;11;4;3;3;0;0,27;0,4;1,2;1;0,3;1;1;0,3;87;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Premium Eco;Second;Breakfast;;North America;11;11;10;10;0;0,91;1;1;0;0;1;0;0;76;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Premium Eco;Second;Dinner;Meat;North America;11;6;3;4;0;0,27;0,6;1,2;5;2,5;0;0;0;78;08:00;11:00;08:00;intercont
