date;flight_number;departure;destination;travel_class;service;component;dish_type;region;passengers;amount_loaded;amount_predicted_demand;amount_used;amount_missed_order;recommended_ratio;ratio;load_factor;price_per_dish;co2_per_item;items_saved;potential_cost_savings;potential_co2_savings;customer_satisfaction;departure_time;arrival_time;flight_duration;route
2024-01-16;4Y001;FRA;JFK;Business;First;Starter;Meat;North America;48;28;22;23;0;0,46;0,6;1,2;5;2,5;0;0;0;91;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;First;Starter;Veg;North America;48;28;26;26;0;0,54;0,6;1,2;4,5;1,2;2;9;2,4;76;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;First;Main;Meat;North America;48;19;20;19;3;0,42;0,4;1,2;5;2,5;0;0;0;80;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;First;Main;Veg;North America;48;19;12;13;0;0,25;0,4;1,2;4,5;1,2;0;0;0;94;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;First;Main;Fish;North America;48;19;13;14;0;0,27;0,4;1,2;6;3;0;0;0;88;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;First;Dessert;Cheese;North America;48;28;27;28;1;0,56;0,6;1,2;3,5;1,8;0;0;0;69;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;First;Dessert;Sweet;North America;48;28;21;21;0;0,44;0,6;1,2;2,5;0,8;7;17,5;5,6;77;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;Second;Breakfast;;North America;48;48;37;35;0;0,77;1;1;0;0;11;0;0;96;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;Second;Dinner;Meat;North America;48;28;29;28;1;0,6;0,6;1,2;5;2,5;0;0;0;88;04:29;07:29;08:00;intercont
2024-01-16;4Y001;FRA;JFK;Business;Second;Dinner;Veg;North America;48;28;18;19;0;0,38;0,6;1,2;4,5;1,2;0;0;0;88;04:29;07:29;08:00;intercont
2024-01-16;4Y002;FRA;SIN;Business;First;Starter;Meat;Asia;51;30;23;23;0;0,45;0,6;1,2;5;2,5;7;35;17,5;91;13:16;21:16;12:00;intercont
2024-01-16;4Y002;FRA;SIN;Business;First;Starter;Veg;Asia;51;30;24;23;0;0,47;0,6;1,2;4,5;1,2;6;27;7,2;94;13:16;21:16;12:00;intercont
2024-01-16;4Y002;FRA;SIN;Business;First;Main;Meat;Asia;51;20;18;17;0;0,35;0,4;1,2;5;2,5;2;10;5;78;13:16;21:16;12:00;intercont
2024-01-16;4Y002;FRA;SIN;Business;First;Main;Veg;Asia;51;20;16;17;0;0,31;0,4;1,2;4,5;1,2;0;0;0;78;13:16;21:16;12:00;intercont
2024-01-16;4Y002;FRA;SIN;Business;First;Main;Fish;Asia;51;20;17;17;0;0,33;0,4;1,2;6;3;3;18;9;82;13:16;21:16;12:00;intercont
2024-01-16;4Y002;FRA;SIN;Business;First;Dessert;Cheese;Asia;51;30;23;24;0;0,45;0,6;1,2;3,5;1,8;0;0;0;92;13:16;21:16;12:00;intercont
