Country;Veget_in%;Veget_no;Veget_data_year;Vegan_in%;Vegan_no;Vegan_data_year
Argentina;12;5400000;2020;2;800000;2024
Australia;12.1;2500000;2018;2;518000;2020
Austria;11;993000;2022;2;180000;2022
Belgium;7;800000;2018;1;110000;2018
Brazil;14;40000000;2024;4.6;10000000;2024
Canada;7.6;2888000;2020;4.6;1768000;2020
Chile;10;2500000;2020;4;750000;2020
China;14;196000000;2019;2;28000000;2019
Colombia;4;2000000;2016;2;1000000;2016
Czech Republic;5;500000;2019;1;100000;2019
Denmark;10;580000;2020;4;230000;2020
Estonia;6;80000;2020;1;11000;2020
Finland;12;660000;2021;2;120000;2021
France;5.2;3400000;2018;1.1;726000;2018
Germany;10;8300000;2021;2;1660000;2021
Greece;4;400000;2022;2;200000;2022
Hungary;5;450000;2022;1;90000;2022
India;29.5;276000000;2021;9;121500000;2021
Ireland;6.5;153500;2018;3;146500;2018
Israel;8;640622;2015;5;400389;2015
Italy;7;4440000;2022;2.5;964800;2022
Jamaica;10;280000;2015;2;56000;2024
Japan;9;11160000;2019;2.7;3500000;2016
Latvia;0.05;95000;2020;1;19000;2020
Lithuania;6;166000;2020;1;27000;2020
Mexico;19;23750000;2016;9;11250000;2016
Netherlands;5;850000;2020;1;150000;2020
New Zealand;10;500000;2019;2;100000;2024
Norway;9;485000;2020;4;215000;2020
Philippines;5;5000000;2014;2;2000000;2014
Poland;8.4;2500000;2017;1.8;536000;2017
Portugal;1.2;120000;2017;0.6;60000;2018
Russia;1;1400000;2018;0.3;431000;2024
Singapore;7;380000;2020;1.8;106000;2024
Slovenia;1.5;30988;2008;0.4;8254;2008
South Korea;3;1500000;2017;2.7;1395000;2024
Spain;1.4;664000;2021;0.8;380000;2021
Sweden;12;1248000;2020;4;415000;2020
Switzerland;5;425000;2020;1;85000;2020
Taiwan;13.5;3297011;2019;2;460000;2024
Thailand;8;5400000;2019;0.3;215000;2024
Ukraine;5.2;2000000;2017;0.6;222000;2024
United Kingdom;8;5410000;2024;2;1350000;2024
United States;4.2;14000000;2023;1.5;5000000;2023
Vietnam;10;9000000;2011;1.8;1779000;2024
