date,flight_number,departure,destination,travel_class,service,component,dish_type,region,passengers,ratio,load_factor,price_per_dish,co2_per_item,departure_time,arrival_time,flight_duration,route,departure_latitude,departure_longitude,destination_latitude,destination_longitude,departure_tavg,departure_tmin,departure_tmax,departure_prcp,departure_snow,departure_wdir,departure_wspd,departure_wpgt,departure_pres,departure_tsun,destination_tavg,destination_tmin,destination_tmax,destination_prcp,destination_snow,destination_wdir,destination_wspd,destination_wpgt,destination_pres,destination_tsun
2025-01-16,4Y001,FRA,JFK,Business,First,Starter,Meat,North America,46,0.6,1.2,5.0,2.5,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,First,Starter,Veg,North America,46,0.6,1.2,4.5,1.2,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,First,Main,Meat,North America,46,0.4,1.2,5.0,2.5,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,First,Main,Veg,North America,46,0.4,1.2,4.5,1.2,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,First,Main,Fish,North America,46,0.4,1.2,6.0,3.0,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,First,Dessert,Cheese,North America,46,0.6,1.2,3.5,1.8,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,First,Dessert,Sweet,North America,46,0.6,1.2,2.5,0.8,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,Second,Breakfast,Breakfast,North America,46,1.0,1.0,4.0,1.5,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,Second,Dinner,Meat,North America,46,0.6,1.2,5.0,2.5,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
2025-01-16,4Y001,FRA,JFK,Business,Second,Dinner,Veg,North America,46,0.6,1.2,4.5,1.2,08:58,11:58,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,2.8,0.7,5.3,0.0,,55.0,7.6,18.5,1037.6,,-3.0,-4.8,-1.6,0.0,,266.0,18.5,,1015.8,
